,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PRC_FULL_PAYMENT,MONTHLY_AVG_PURCHASE,MONTHLY_AVG_CASH_ADVANCE,LIMIT_USAGE,PAYMENT_MINPAYMENT,PURCHASE_TYPE_NONE,PURCHASE_TYPE_ONEOFF_INSTALLMENT,PURCHASE_TYPE_ONE_OFF
71,0.91,1664.09,2859.18,0.67,0.5,0.58,0.83,27,33.0,0.45,376.94,896.2334000000003,0.43,25.5,0,1,0
72,1.0,0.0,0.0,0.0,0.0,0.0,0.12,3,0.0,0.25,0.0,184.29,0.09,6.46,1,0,0
73,1.0,503.08,210.82,0.5,0.1,0.4,0.0,0,8.0,0.0,71.39,0.0,0.8,1.43,0,1,0
74,0.91,516.64,275.3,0.27,0.09,0.18,0.0,0,7.0,0.0,71.99,0.0,0.09,7.44,0,1,0
75,1.0,249.5,312.37,0.83,0.17,0.75,0.0,0,14.0,0.0,46.82,0.0,0.98,0.92,0,1,0
76,1.0,606.11,0.0,1.0,1.0,0.0,0.0,0,17.0,0.0,50.51,0.0,0.16,4.75,0,0,1
77,1.0,0.0,320.0,0.75,0.0,0.67,0.0,0,8.0,0.0,26.67,0.0,0.39,7.57,0,0,0
78,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,3.19,1.0,0.0,1,0,0
79,1.0,388.66,0.0,0.58,0.58,0.0,0.42,7,7.0,0.0,32.39,385.16,0.94,0.65,0,0,1
80,0.91,40.21,204.64,0.67,0.17,0.58,0.0,0,13.0,0.18,20.4,0.0,0.0,2.94,0,1,0
81,0.27,0.0,0.0,0.0,0.0,0.0,0.17,5,0.0,0.0,0.0,248.78,0.01,0.71,1,0,0
82,0.64,28.2,104.85,0.42,0.17,0.25,0.0,0,5.0,0.44,11.09,0.0,0.0,2.11,0,1,0
83,0.55,0.0,396.0,0.5,0.0,0.42,0.0,0,12.0,1.0,33.0,0.0,0.04,5.15,0,0,0
84,1.0,4515.34,400.26,1.0,1.0,0.33,0.08,1,50.0,0.0,409.63,24.49,0.22,8.27,0,1,0
85,1.0,1247.8,0.0,1.0,1.0,0.0,0.0,0,22.0,1.0,103.98,0.0,0.01,7.44,0,0,1
86,1.0,1445.14,158.64,1.0,0.83,1.0,0.75,23,23.0,0.0,133.65,468.83,0.64,2.45,0,1,0
87,1.0,1318.78,939.23,1.0,0.75,1.0,0.75,21,60.0,0.0,188.17,437.6,0.61,1.46,0,1,0
88,1.0,45.0,0.0,0.08,0.08,0.0,0.08,1,1.0,0.0,3.75,8.69,0.9,1.11,0,0,1
89,1.0,0.0,0.0,0.0,0.0,0.0,0.42,14,0.0,0.0,0.0,226.44,0.94,0.52,1,0,0
90,1.0,1147.83,3886.2405000000003,1.0,0.25,0.92,0.08,1,46.0,0.0,425.01,30.89,1.04,0.65,0,1,0
91,1.0,226.9,805.14,0.91,0.09,0.82,0.55,21,17.0,0.09,93.82,394.17,0.49,3.36,0,1,0
92,1.0,45.65,0.0,0.08,0.08,0.0,0.08,1,1.0,0.0,3.8,41.3,0.73,1.41,0,0,1
93,1.0,405.6,0.0,0.17,0.17,0.0,0.0,0,2.0,0.0,33.8,0.0,0.54,0.0,0,0,1
94,1.0,213.34,0.0,0.25,0.25,0.0,0.0,0,3.0,0.0,17.78,0.0,0.97,0.0,0,0,1
95,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,10.05,0.95,0.05,1,0,0
96,1.0,739.44,0.0,0.67,0.67,0.0,0.0,0,11.0,0.0,61.62,0.0,0.27,1.07,0,0,1
97,1.0,0.0,0.0,0.0,0.0,0.0,0.5,6,0.0,0.0,0.0,142.83,0.88,0.0,1,0,0
98,0.36,0.0,79.0,0.25,0.0,0.17,0.0,0,3.0,1.0,6.58,0.0,0.0,1.79,0,0,0
99,0.09,0.0,0.0,0.0,0.0,0.0,0.14,1,0.0,0.0,0.0,12.84,0.0,137.18110000000036,1,0,0
100,0.67,20.0,0.0,0.11,0.11,0.0,0.0,0,1.0,0.0,2.22,0.0,0.0,0.43,0,0,1
101,0.27,0.0,1346.28,1.0,0.0,1.0,0.0,0,12.0,0.0,112.19,0.0,0.01,13.0,0,0,0
102,1.0,1540.41,1283.39,0.92,0.92,0.83,0.0,0,75.0,0.08,235.32,0.0,0.62,4.36,0,1,0
103,0.09,0.0,389.96,1.0,0.0,1.0,0.0,0,31.0,0.0,32.5,0.0,0.0,0.0,0,0,0
104,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.08,0.0,76.69,0.22,10.41,1,0,0
105,1.0,808.0,0.0,0.25,0.25,0.0,0.33,6,4.0,0.0,67.33,79.99,0.61,0.52,0,0,1
106,1.0,0.0,941.64,1.0,0.0,1.0,0.0,0,12.0,0.08,78.47,0.0,0.16,6.22,0,0,0
107,1.0,0.0,0.0,0.0,0.0,0.0,0.58,29,0.0,0.0,0.0,453.29,0.62,0.86,1,0,0
108,1.0,177.64,246.06,0.67,0.17,0.5,0.08,2,10.0,0.0,35.31,34.37,0.62,1.16,0,1,0
109,1.0,2721.59,1757.16,1.0,0.92,1.0,0.58,21,64.0,0.08,373.23,600.46,0.74,4.4,0,1,0
110,0.82,585.63,769.23,0.92,0.33,0.83,0.0,0,34.0,0.0,112.9,0.0,0.03,7.93,0,1,0
111,1.0,0.0,0.0,0.0,0.0,0.0,0.08,2,0.0,0.0,0.0,84.03,0.81,0.0,1,0,0
112,1.0,857.12,1955.08,1.0,0.25,1.0,0.33,8,81.0,0.0,234.35,209.2,0.63,0.82,0,1,0
113,1.0,0.0,0.0,0.0,0.0,0.0,0.25,11,0.0,0.0,0.0,280.02,0.92,0.46,1,0,0
114,0.82,1252.36,256.54,0.67,0.42,0.33,0.0,0,14.0,1.0,125.74,0.0,0.04,13.79,0,1,0
115,1.0,667.95,377.62,1.0,0.58,1.0,0.0,0,25.0,0.0,87.13,0.0,0.23,2.66,0,1,0
116,0.64,0.0,2309.78,0.58,0.0,0.5,0.0,0,12.0,0.33,192.48,0.0,0.03,12.14,0,0,0
117,1.0,0.0,0.0,0.0,0.0,0.0,0.25,10,0.0,0.0,0.0,48.02,0.99,0.28,1,0,0
118,0.27,0.0,495.0,0.17,0.0,0.17,0.0,0,2.0,1.0,41.25,0.0,0.01,13.4,0,0,0
119,1.0,0.0,0.0,0.0,0.0,0.0,0.33,4,0.0,0.0,0.0,42.42,0.89,1.31,1,0,0
120,1.0,4100.08,2624.18,1.0,0.92,1.0,0.5,10,85.0,0.0,560.36,140.55,0.5,0.87,0,1,0
121,1.0,1174.39,0.0,0.25,0.25,0.0,0.0,0,8.0,0.0,97.87,0.0,0.16,0.0,0,0,1
122,1.0,0.0,3886.2405000000003,1.0,0.0,1.0,0.0,0,75.0,0.0,465.07,0.0,0.25,5.66,0,0,0
123,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,83.24,0.9,0.75,1,0,0
124,1.0,0.0,0.0,0.0,0.0,0.0,0.33,9,0.0,0.0,0.0,384.54,0.75,0.9,1,0,0
125,1.0,6689.898200000005,0.0,0.92,0.92,0.0,0.0,0,116.51000000000022,0.0,758.6519000000003,0.0,0.85,5.81,0,0,1
126,0.75,0.0,0.0,0.0,0.0,0.0,0.12,1,0.0,0.17,0.0,34.09,0.05,4.56,1,0,0
127,1.0,1077.3,880.0,0.83,0.17,0.58,0.0,0,19.0,0.0,163.11,0.0,0.85,0.92,0,1,0
128,1.0,150.64,0.0,0.08,0.08,0.0,0.5,14,1.0,0.0,12.55,696.85,0.66,0.9,0,0,1
129,0.09,0.0,0.0,0.0,0.0,0.0,0.08,3,0.0,0.0,0.0,233.31,0.01,0.0,1,0,0
130,0.27,907.0,0.0,0.25,0.25,0.0,0.08,1,8.0,0.0,75.58,22.8,0.02,0.0,0,0,1
131,1.0,351.54,919.58,0.83,0.25,0.83,0.0,0,33.0,0.0,105.93,0.0,0.93,0.53,0,1,0
132,0.64,0.0,250.6,0.58,0.0,0.5,0.0,0,7.0,0.0,20.88,0.0,0.01,1.84,0,0,0
133,1.0,796.33,0.0,0.08,0.08,0.0,0.67,16,1.0,0.08,66.36,896.2334000000003,0.72,4.1,0,0,1
134,1.0,0.0,440.0,0.92,0.0,0.92,0.0,0,22.0,0.0,36.67,0.0,0.06,2.99,0,0,0
135,1.0,1169.63,160.99,0.5,0.17,0.25,0.0,0,8.0,0.0,110.88,0.0,0.78,1.44,0,1,0
136,1.0,1390.5,3886.2405000000003,1.0,0.5,1.0,0.0,0,52.0,0.0,457.65,0.0,0.15,1.65,0,1,0
137,1.0,714.52,183.34,0.92,0.33,0.92,0.25,3,18.0,0.0,74.82,48.86,0.59,5.27,0,1,0
138,1.0,6689.898200000005,3886.2405000000003,1.0,0.75,1.0,0.0,0,116.51000000000022,0.0,758.6519000000003,0.0,1.06,1.24,0,1,0
139,1.0,720.6,0.0,1.0,1.0,0.0,0.08,1,12.0,0.0,60.05,60.28,0.89,1.54,0,0,1
140,1.0,148.66,48.4,0.33,0.25,0.17,0.0,0,5.0,0.0,16.42,0.0,0.95,0.97,0,1,0
141,0.82,0.0,0.0,0.0,0.0,0.0,0.17,3,0.0,0.0,0.0,108.93,0.1,9.06,1,0,0
142,1.0,0.0,0.0,0.0,0.0,0.0,0.5,9,0.0,0.0,0.0,333.53,0.76,0.0,1,0,0
143,1.0,1300.48,784.0,0.67,0.42,0.58,0.0,0,13.0,0.0,173.71,0.0,0.49,1.05,0,1,0
144,1.0,3436.53,2342.83,1.0,1.0,1.0,0.0,0,97.0,0.0,481.61,0.0,0.33,8.08,0,1,0
145,1.0,1025.0,0.0,0.08,0.08,0.0,0.0,0,2.0,0.0,85.42,0.0,0.41,0.85,0,0,1
146,0.91,0.0,689.7,0.83,0.0,0.83,0.0,0,10.0,0.0,57.48,0.0,0.0,137.18110000000036,0,0,0
147,1.0,28.65,0.0,0.08,0.08,0.0,0.08,1,1.0,0.08,2.39,32.02,0.03,6.36,0,0,1
148,0.91,164.96,780.0,0.5,0.25,0.42,0.0,0,9.0,0.0,78.75,0.0,0.74,1.97,0,1,0
149,1.0,80.0,959.2,0.83,0.08,0.83,0.08,1,11.0,0.08,86.6,8.59,0.07,3.96,0,1,0
150,1.0,0.0,3886.2405000000003,0.58,0.0,0.5,0.17,7,14.0,0.0,338.33,46.29,1.06,0.29,0,0,0
151,1.0,3322.28,753.09,1.0,1.0,1.0,0.0,0,31.0,0.0,339.61,0.0,0.23,6.85,0,1,0
152,1.0,0.0,870.24,1.0,0.0,1.0,0.0,0,24.0,1.0,72.52,0.0,0.01,4.33,0,0,0
153,1.0,3959.81,3886.2405000000003,1.0,0.75,1.0,0.75,26,116.51000000000022,0.0,758.6519000000003,203.7,0.68,1.94,0,1,0
154,0.64,789.53,1673.59,1.0,0.5,1.0,0.0,0,46.0,0.64,205.26,0.0,0.03,26.99,0,1,0
155,0.36,0.0,1859.34,0.33,0.0,0.25,0.0,0,4.0,0.25,154.94,0.0,0.01,10.75,0,0,0
156,1.0,3262.25,226.24,1.0,1.0,0.5,0.75,15,46.0,0.0,290.71,275.26,0.74,0.0,0,1,0
157,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,5.52,0.96,0.13,1,0,0
158,1.0,5087.31,2196.0,1.0,1.0,0.67,0.0,0,77.0,0.25,606.94,0.0,0.25,13.58,0,1,0
159,1.0,295.0,0.0,0.08,0.08,0.0,0.08,1,2.0,0.0,24.58,7.8,0.87,1.21,0,0,1
160,1.0,0.0,0.0,0.0,0.0,0.0,0.42,5,0.0,0.0,0.0,35.81,0.91,1.08,1,0,0
161,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,82.36,0.47,0.86,1,0,0
162,1.0,115.0,533.22,1.0,0.08,1.0,0.0,0,27.0,0.0,54.02,0.0,0.73,5.33,0,1,0
163,1.0,525.64,31.55,0.25,0.08,0.17,0.0,0,5.0,0.0,46.43,0.0,0.4,0.69,0,1,0
164,1.0,0.0,469.98,1.0,0.0,0.83,0.0,0,6.0,0.5,78.33,0.0,0.11,4.26,0,0,0
165,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,30.83,0.89,0.68,1,0,0
166,0.36,0.0,131.64,1.0,0.0,1.0,0.0,0,12.0,0.0,10.97,0.0,0.1,11.99,0,0,0
167,1.0,4330.53,747.61,0.92,0.67,0.75,0.08,1,42.0,0.92,423.18,118.7,0.04,19.66,0,1,0
168,1.0,0.0,924.6,1.0,0.0,1.0,0.0,0,12.0,0.0,77.05,0.0,1.06,0.69,0,0,0
169,1.0,1393.5,581.9,0.67,0.42,0.33,0.0,0,17.0,0.0,164.62,0.0,0.09,10.73,0,1,0
170,0.67,0.0,0.0,0.0,0.0,0.0,0.22,5,0.0,0.0,0.0,407.98,0.21,18.75,1,0,0
171,1.0,6689.898200000005,3079.97,1.0,1.0,0.83,0.58,18,116.51000000000022,0.75,758.6519000000003,135.06,0.09,30.76,0,1,0
172,0.36,0.0,300.0,0.25,0.0,0.17,0.0,0,3.0,0.18,25.0,0.0,0.0,6.72,0,0,0
173,0.86,0.0,0.0,0.0,0.0,0.0,0.29,9,0.0,0.2,0.0,557.9,0.73,3.09,1,0,0
174,1.0,4685.54,1029.46,1.0,1.0,1.0,0.17,3,90.0,0.0,476.25,135.53,0.86,1.45,0,1,0
175,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,17.14,0.89,1.15,1,0,0
176,1.0,766.61,0.0,0.83,0.83,0.0,0.25,5,12.0,0.0,63.88,84.76,0.81,0.0,0,0,1
177,1.0,0.0,0.0,0.0,0.0,0.0,0.58,13,0.0,0.0,0.0,170.04,0.98,1.4,1,0,0
178,1.0,1614.7,1921.1,1.0,0.42,0.92,0.0,0,44.0,1.0,294.65,0.0,0.02,15.11,0,1,0
179,0.45,0.0,256.11,0.42,0.0,0.42,0.0,0,5.0,0.17,21.34,0.0,0.01,4.4,0,0,0
180,1.0,150.5,2546.98,1.0,0.33,1.0,0.0,0,39.0,0.0,224.79,0.0,0.36,5.56,0,1,0
181,0.09,0.0,23.0,0.08,0.0,0.08,0.0,0,1.0,0.0,1.92,0.0,0.0,0.0,0,0,0
182,1.0,0.0,117.0,0.25,0.0,0.17,0.75,28,3.0,0.17,9.75,896.2334000000003,0.64,18.57,0,0,0
183,0.09,173.0,23.81,0.08,0.08,0.08,0.0,0,3.0,0.0,16.4,0.0,0.0,0.0,0,1,0
184,1.0,493.0,160.73,0.67,0.42,0.42,0.0,0,15.0,0.0,54.48,0.0,0.01,3.23,0,1,0
185,0.82,0.0,2009.05,0.83,0.0,0.75,0.0,0,22.0,0.14,167.42,0.0,0.14,13.22,0,0,0
186,1.0,0.0,147.78,0.17,0.0,0.17,0.25,4,2.0,0.0,12.32,138.09,0.28,3.17,0,0,0
187,1.0,159.07,357.47,1.0,0.33,0.92,0.0,0,30.0,0.0,43.04,0.0,0.97,0.84,0,1,0
188,1.0,969.56,0.0,0.42,0.42,0.0,0.08,1,6.0,0.0,80.8,37.19,0.36,0.0,0,0,1
189,1.0,311.45,0.0,0.33,0.33,0.0,0.08,1,15.0,0.0,25.95,79.66,0.64,0.97,0,0,1
190,0.73,280.4,0.0,0.25,0.25,0.0,0.0,0,3.0,0.09,23.37,0.0,0.01,4.56,0,0,1
191,1.0,66.14,0.0,0.08,0.08,0.0,0.0,0,2.0,0.0,5.51,0.0,0.03,0.0,0,0,1
192,0.36,79.2,0.0,0.08,0.08,0.0,0.08,1,1.0,0.08,6.6,135.96,0.01,66.4,0,0,1
193,1.0,0.0,1453.32,0.5,0.0,0.5,0.0,0,18.0,0.0,121.11,0.0,0.33,0.79,0,0,0
194,1.0,756.54,0.0,0.5,0.5,0.0,0.0,0,15.0,0.0,63.04,0.0,1.0,0.78,0,0,1
195,1.0,603.75,2903.6,0.92,0.17,0.83,0.0,0,34.0,0.0,292.28,0.0,0.49,0.77,0,1,0
196,0.82,56.8,3106.89,0.75,0.08,0.67,0.0,0,36.0,0.89,263.64,0.0,0.04,12.95,0,1,0
197,0.91,1082.79,260.4,1.0,1.0,0.58,0.0,0,33.0,0.55,111.93,0.0,0.01,5.72,0,1,0
198,1.0,873.0,0.0,0.17,0.17,0.0,0.0,0,5.0,0.0,72.75,0.0,0.25,0.71,0,0,1
199,1.0,0.0,47.55,0.17,0.0,0.17,0.75,14,2.0,0.0,3.96,169.96,0.95,0.86,0,0,0
200,0.45,370.0,0.0,0.17,0.17,0.0,0.0,0,2.0,0.0,30.83,0.0,0.0,17.64,0,0,1
201,0.91,313.75,92.0,0.5,0.17,0.42,0.33,6,12.0,0.0,33.81,87.05,0.28,3.99,0,1,0
202,0.91,0.0,261.64,0.83,0.0,0.83,0.0,0,10.0,0.82,21.8,0.0,0.01,2.22,0,0,0
203,1.0,842.8,1146.48,0.33,0.17,0.17,0.08,2,8.0,0.0,165.77,74.48,0.6,1.85,0,1,0
204,1.0,6689.898200000005,2640.5,1.0,0.67,1.0,0.0,0,116.51000000000022,0.0,758.6519000000003,0.0,0.61,3.22,0,1,0
205,0.09,0.0,43.39,0.08,0.0,0.08,0.0,0,1.0,0.09,3.62,0.0,0.0,4.38,0,0,0
206,1.0,645.32,0.0,0.17,0.17,0.0,0.42,9,2.0,0.0,53.78,138.78,0.87,3.21,0,0,1
207,1.0,862.1,125.0,0.33,0.33,0.08,0.25,16,9.0,0.0,82.26,455.72,0.69,0.81,0,1,0
208,1.0,978.71,485.43,0.83,0.58,0.67,0.42,10,23.0,0.0,122.01,328.99,0.56,0.88,0,1,0
209,0.45,600.0,327.0,0.25,0.08,0.17,0.0,0,4.0,0.22,77.25,0.0,0.01,21.34,0,1,0
210,1.0,153.72,239.9,0.92,0.92,0.17,0.75,24,15.0,0.0,32.8,494.46,0.56,1.11,0,1,0
211,1.0,876.13,89.37,0.5,0.5,0.08,0.0,0,9.0,0.0,80.46,0.0,0.49,1.1,0,1,0
212,0.82,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,8.52,0.33,7.02,1,0,0
